,classes,accuracy,average_iou
0,1,0.76,0.83
1,2,0.5,0.91
2,3,0.58,0.78
3,4,0.75,0.97
4,5,0.67,0.93
5,6,1.0,0.94
6,7,1.0,0.9
7,8,0.83,0.93
8,9,0.6,0.9
9,10,1.0,0.88
10,11,0.5,0.97
11,12,0.0,0.0
12,13,1.0,0.96
13,14,0.5,0.84
14,15,0.94,0.88
15,16,1.0,0.95
16,17,1.0,0.93
17,18,1.0,0.99
18,19,1.0,0.96
19,20,0.91,0.92
20,21,1.25,0.82
21,22,1.0,0.98
22,23,1.67,0.8
23,24,1.0,0.96
24,25,0.5,0.6
25,26,1.0,0.84
26,27,0.44,0.84
27,28,0.79,0.92
28,29,1.25,0.8
29,30,1.0,0.94
30,31,0.5,0.89
31,32,1.5,0.75
32,33,1.0,0.93
33,34,1.0,0.91
34,35,1.5,0.79
35,36,1.0,0.88
36,37,1.0,0.93
37,38,0.0,0.0
38,39,0.83,0.88
39,40,1.27,0.78
40,41,0.12,0.67
41,42,0.71,0.91
42,43,1.0,0.89
43,44,0.8,0.85
44,45,1.25,0.75
45,46,0.46,0.95
46,47,0.67,0.93
47,48,0.0,0.0
48,49,1.0,0.88
49,50,0.33,0.88
50,51,0.0,0.0
51,52,0.43,0.81
52,53,0.0,0.0
53,54,1.25,0.82
54,55,1.0,0.93
55,56,1.0,0.96
56,57,0.87,0.82
57,58,1.0,0.85
58,59,1.0,0.91
59,60,1.0,0.98
60,61,1.11,0.86
61,62,1.0,0.92
62,63,1.0,0.88
63,64,1.0,0.82
64,65,0.0,0.0
65,66,0.33,0.83
66,67,0.0,0.0
67,68,1.0,0.89
68,69,1.0,0.94
69,70,1.0,0.91
70,71,0.0,0.0
71,72,0.75,0.63
72,73,0.0,0.0
73,74,0.87,0.56
74,75,1.0,0.84
75,76,0.0,0.0
76,77,0.93,0.53
77,78,1.0,0.99
78,79,0.0,0.0
79,80,0.5,0.97
