,classes,accuracy,average_iou,correct_prediction,total_label
0,1,0.28,0.78,146.0,529.0
1,2,0.0,0.0,0.0,11.0
2,3,0.31,0.75,25.0,80.0
3,4,0.82,0.85,9.0,11.0
4,5,0.5,0.89,7.0,14.0
5,6,0.86,0.87,6.0,7.0
6,7,0.92,0.78,11.0,12.0
7,8,0.15,0.86,4.0,26.0
8,9,0.17,0.95,2.0,12.0
9,10,0.06,0.81,1.0,18.0
10,11,0.5,0.97,1.0,2.0
11,12,0.5,0.9,1.0,2.0
12,13,0.56,0.79,5.0,9.0
13,14,0.33,0.75,4.0,12.0
14,15,0.21,0.78,7.0,34.0
15,16,0.64,0.86,7.0,11.0
16,17,0.64,0.93,7.0,11.0
17,18,1.0,0.95,2.0,2.0
18,19,0.1,0.82,3.0,29.0
19,20,0.49,0.78,20.0,41.0
20,21,0.94,0.72,15.0,16.0
21,22,1.0,0.94,2.0,2.0
22,23,0.36,0.82,5.0,14.0
23,24,0.52,0.9,12.0,23.0
24,25,0.18,0.73,2.0,11.0
25,26,0.17,0.79,4.0,24.0
26,27,0.06,0.87,1.0,17.0
27,28,0.04,0.93,1.0,26.0
28,29,0.38,0.75,3.0,8.0
29,30,0.25,0.94,2.0,8.0
30,31,0.38,0.67,3.0,8.0
31,32,0.67,0.93,2.0,3.0
32,33,0.09,0.77,2.0,22.0
33,34,0.03,0.73,1.0,30.0
34,35,0.5,0.75,2.0,4.0
35,36,0.4,0.82,2.0,5.0
36,37,0.57,0.7,4.0,7.0
37,38,1.0,0.89,1.0,1.0
38,39,0.18,0.76,2.0,11.0
39,40,0.02,0.87,1.0,60.0
40,41,0.0,0.0,0.0,17.0
41,42,0.16,0.74,7.0,45.0
42,43,0.38,0.72,3.0,8.0
43,44,0.27,0.79,3.0,11.0
44,45,0.12,0.92,2.0,16.0
45,46,0.29,0.91,6.0,21.0
46,47,0.03,0.77,1.0,31.0
47,48,1.0,0.89,1.0,1.0
48,49,0.36,0.9,5.0,14.0
49,50,0.08,0.95,1.0,13.0
50,51,0.45,0.62,10.0,22.0
51,52,0.05,0.66,1.0,19.0
52,53,0.0,0.0,0.0,3.0
53,54,0.56,0.75,15.0,27.0
54,55,0.52,0.89,17.0,33.0
55,56,0.17,0.95,1.0,6.0
56,57,0.23,0.72,17.0,73.0
57,58,0.6,0.87,3.0,5.0
58,59,0.44,0.68,4.0,9.0
59,60,0.21,0.85,3.0,14.0
60,61,0.71,0.81,17.0,24.0
61,62,1.12,0.83,9.0,8.0
62,63,0.45,0.83,5.0,11.0
63,64,0.43,0.92,3.0,7.0
64,65,0.0,0.0,0.0,6.0
65,66,0.0,0.0,0.0,5.0
66,67,0.2,0.94,1.0,5.0
67,68,0.09,0.87,1.0,11.0
68,69,0.33,0.85,1.0,3.0
69,70,0.5,0.67,3.0,6.0
70,71,0.0,0.0,0.0,0.0
71,72,0.18,0.65,2.0,11.0
72,73,0.25,0.93,1.0,4.0
73,74,0.0,0.0,0.0,48.0
74,75,0.33,0.81,4.0,12.0
75,76,0.25,0.9,2.0,8.0
76,77,0.0,0.0,0.0,16.0
77,78,0.67,0.87,2.0,3.0
78,79,0.0,0.0,0.0,1.0
79,80,0.0,0.0,0.0,8.0
