                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6903,                 2.9711,                 1.3698,                0.57778,                0.31178,                0.34701,                0.23428,                 1.4427,                 1.5011,                 1.1534,             3.9622e-05,             3.9622e-05,             3.9622e-05
                      2,                 1.6128,                  2.431,                 1.3004,                0.60247,                0.30629,                0.35068,                0.23152,                 1.4291,                   1.47,                 1.1638,             7.7718e-05,             7.7718e-05,             7.7718e-05
                      3,                 1.5755,                 2.2948,                 1.2899,                0.55933,                0.30582,                0.33213,                0.22179,                 1.4081,                 1.4988,                 1.1622,             0.00011424,             0.00011424,             0.00011424
                      4,                 1.5185,                 2.1784,                 1.2647,                0.53254,                0.32196,                0.33524,                0.21751,                 1.4353,                 1.5658,                 1.1693,             0.00011193,             0.00011193,             0.00011193
                      5,                 1.5293,                 2.1391,                  1.274,                0.43993,                0.32692,                0.31836,                0.20174,                 1.4436,                 1.6528,                 1.1788,             0.00011193,             0.00011193,             0.00011193
                      6,                 1.4709,                 2.0073,                 1.2544,                 0.4267,                0.31408,                0.30169,                0.19696,                 1.4469,                 1.7376,                 1.1764,             0.00010958,             0.00010958,             0.00010958
                      7,                 1.4655,                 2.0055,                 1.2505,                0.51042,                 0.2851,                0.30118,                0.19406,                 1.4322,                 1.7532,                 1.1701,             0.00010722,             0.00010722,             0.00010722
                      8,                 1.4717,                 1.9329,                 1.2497,                0.46422,                0.30838,                0.31319,                0.19915,                 1.4482,                  1.666,                 1.1866,             0.00010486,             0.00010486,             0.00010486
                      9,                 1.4312,                   1.92,                 1.2372,                0.49495,                0.27493,                 0.2945,                0.18929,                 1.4505,                 1.6532,                 1.1852,             0.00010251,             0.00010251,             0.00010251
                     10,                  1.445,                 1.8646,                 1.2437,                0.47276,                0.30268,                0.31037,                0.20046,                 1.4495,                 1.7196,                 1.1787,             0.00010015,             0.00010015,             0.00010015
                     11,                 1.4291,                 1.8471,                 1.2305,                0.37666,                0.33553,                0.29369,                  0.186,                 1.4783,                 1.8011,                 1.2086,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     12,                 1.4156,                 1.8251,                 1.2245,                0.40945,                0.30308,                0.28066,                0.17251,                 1.4803,                 1.8186,                  1.206,             9.5438e-05,             9.5438e-05,             9.5438e-05
