                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9299,                 5.6343,                  4.059,                0.00024,                0.00655,                0.00013,                  3e-05,                 4.2108,                    inf,                  4.827,             3.9622e-05,             3.9622e-05,             3.9622e-05
                      2,                 4.4017,                 5.0865,                 3.7555,                0.20265,                0.00308,                  7e-05,                  2e-05,                 4.0798,                    inf,                  6.047,             7.7718e-05,             7.7718e-05,             7.7718e-05
                      3,                 3.9651,                 4.7162,                 3.4373,                 0.0002,                0.00873,                0.00011,                  4e-05,                 4.1638,                    inf,                 8.5809,             0.00011424,             0.00011424,             0.00011424
                      4,                 3.7148,                 4.3426,                 3.1643,                0.00029,                0.01547,                0.00018,                  5e-05,                 3.9035,                    inf,                 4.5022,             0.00011193,             0.00011193,             0.00011193
                      5,                 3.5397,                 4.1811,                 3.0589,                0.00049,                0.02396,                0.00031,                  8e-05,                 3.7631,                    inf,                 4.4398,             0.00011193,             0.00011193,             0.00011193
                      6,                 3.3738,                 3.9668,                 2.9091,                0.00061,                 0.0388,                0.00047,                0.00013,                 3.7179,                    inf,                 4.0291,             0.00010958,             0.00010958,             0.00010958
                      7,                 3.2807,                 3.8977,                 2.8229,                0.00097,                0.03632,                0.00063,                0.00017,                 3.6141,                    inf,                 3.6307,             0.00010722,             0.00010722,             0.00010722
                      8,                 3.2059,                 3.8168,                 2.7292,                0.00092,                0.06141,                0.00098,                0.00028,                 3.3349,                 43.743,                 3.2382,             0.00010486,             0.00010486,             0.00010486
                      9,                  3.053,                 3.7641,                 2.6699,                0.00255,                 0.0615,                0.00204,                0.00095,                 3.4392,                 41.522,                  3.429,             0.00010251,             0.00010251,             0.00010251
                     10,                 3.0233,                 3.6852,                 2.5947,                0.00151,                0.06898,                0.00177,                0.00057,                 3.2269,                 3.8258,                 3.1049,             0.00010015,             0.00010015,             0.00010015
                     11,                  2.949,                 3.6742,                 2.5426,                0.00138,                0.08925,                0.00278,                0.00072,                 3.3339,                 5.2498,                 3.2169,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     12,                 2.9364,                 3.6369,                  2.498,                0.00207,                0.08875,                0.00288,                0.00115,                 3.0334,                 4.0316,                 2.8553,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     13,                  2.862,                 3.5767,                 2.4585,                0.00163,                0.09141,                0.00355,                0.00142,                 3.0317,                 3.8877,                 2.8188,             9.3082e-05,             9.3082e-05,             9.3082e-05
