                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2803,                 4.8307,                 1.7862,                0.57888,                0.09834,                0.03664,                0.01378,                 2.4253,                 4.0407,                 1.6925,             0.00025585,             0.00025585,             0.00025585
                      2,                 2.3337,                 4.3484,                 1.7044,                0.39308,                 0.0236,                 0.0123,                0.00452,                 2.7342,                 4.1486,                 1.8752,             0.00050795,             0.00050795,             0.00050795
                      3,                 2.4138,                 4.2062,                 1.7764,                0.54684,                0.10464,                0.04688,                0.02121,                 2.8209,                  3.835,                 1.8349,             0.00075583,             0.00075583,             0.00075583
                      4,                 2.4227,                 4.0767,                 1.7735,                0.61335,                0.04232,                0.02762,                0.00985,                 2.6971,                 3.8494,                  1.818,             0.00074997,             0.00074997,             0.00074997
                      5,                 2.4486,                 4.0127,                 1.7295,                0.71209,                0.09302,                0.02843,                0.01074,                 2.7692,                 4.0203,                 1.9093,             0.00074997,             0.00074997,             0.00074997
                      6,                 2.3981,                 3.7902,                 1.7024,                0.61761,                0.05605,                 0.0465,                0.01585,                 2.7508,                 3.7008,                  1.834,             0.00074362,             0.00074362,             0.00074362
                      7,                 2.3054,                 3.6926,                  1.686,                0.84243,                   0.05,                0.08195,                0.04023,                 2.6105,                 3.5243,                 1.8032,             0.00073728,             0.00073728,             0.00073728
                      8,                 2.3362,                  3.564,                 1.6972,                0.81011,                 0.0433,                0.10851,                0.04206,                 2.5151,                  3.575,                 1.7723,             0.00073093,             0.00073093,             0.00073093
                      9,                 2.3354,                 3.4324,                 1.6334,                0.77716,                0.05628,                0.08528,                0.03923,                 2.5518,                 3.3749,                 1.7115,             0.00072459,             0.00072459,             0.00072459
                     10,                 2.3003,                 3.3634,                 1.6273,                0.58079,                0.07012,                0.08003,                0.02911,                 2.5947,                 3.3335,                 1.7532,             0.00071825,             0.00071825,             0.00071825
                     11,                  2.261,                 3.2896,                 1.6093,                 0.1715,                0.08517,                0.04491,                0.01562,                   2.59,                  3.408,                 1.7759,              0.0007119,              0.0007119,              0.0007119
                     12,                 2.1621,                 3.1993,                  1.594,                0.80525,                 0.0625,                0.11459,                0.03761,                 2.5224,                 3.7087,                  1.739,             0.00070556,             0.00070556,             0.00070556
                     13,                 2.1941,                 3.1895,                 1.5911,                0.80075,                  0.075,                0.15367,                0.05054,                 2.5572,                 3.8391,                 1.7935,             0.00069921,             0.00069921,             0.00069921
                     14,                 2.1923,                 3.1562,                 1.5594,                0.53834,                0.11858,                0.14484,                0.05636,                 2.5285,                 3.1754,                 1.7492,             0.00069287,             0.00069287,             0.00069287
                     15,                 2.1318,                  3.013,                  1.554,                0.13932,                 0.1773,                0.10787,                0.04422,                 2.4942,                 3.8087,                 1.7641,             0.00068652,             0.00068652,             0.00068652
                     16,                 2.1476,                 3.0318,                 1.5612,                0.56719,                0.09703,                0.08947,                0.04571,                 2.4366,                 3.6987,                  1.708,             0.00068018,             0.00068018,             0.00068018
                     17,                 2.0634,                 2.9239,                  1.529,                0.46512,                0.10757,                0.10264,                0.04829,                 2.5394,                 3.3235,                 1.7766,             0.00067384,             0.00067384,             0.00067384
                     18,                 2.1165,                 2.9968,                 1.5144,                0.25974,                0.16143,                0.11939,                0.05163,                 2.4202,                 4.0071,                 1.7415,             0.00066749,             0.00066749,             0.00066749
                     19,                 2.0302,                 2.8748,                 1.5102,                 0.4361,                0.17062,                0.11726,                0.05151,                 2.4529,                 3.0609,                 1.7576,             0.00066115,             0.00066115,             0.00066115
                     20,                 2.0173,                 2.8835,                 1.5273,                0.22679,                  0.163,                0.14649,                0.07228,                  2.517,                 3.2484,                 1.7463,              0.0006548,              0.0006548,              0.0006548
                     21,                 2.0423,                 2.8756,                  1.501,                0.27964,                 0.1822,                0.12005,                0.04307,                 2.5252,                 3.2515,                  1.818,             0.00064846,             0.00064846,             0.00064846
                     22,                  1.977,                 2.8222,                 1.4979,                0.26968,                0.16303,                0.09874,                0.04717,                 2.4329,                 3.6726,                 1.7867,             0.00064212,             0.00064212,             0.00064212
                     23,                 1.9752,                  2.785,                 1.4616,                0.30965,                0.13556,                0.13477,                0.05222,                 2.5667,                 3.6169,                 1.8199,             0.00063577,             0.00063577,             0.00063577
