                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2803,                 4.8307,                 1.7862,                0.57888,                0.09834,                0.03664,                0.01378,                 2.4253,                 4.0407,                 1.6925,             0.00025585,             0.00025585,             0.00025585
                      2,                 2.3436,                 4.3212,                 1.7147,                0.51988,                0.01255,                0.02404,                0.00834,                   2.68,                 3.9152,                 1.7679,             0.00050204,             0.00050204,             0.00050204
                      3,                 2.3884,                 4.1456,                 1.7487,                 0.7162,                0.06396,                0.04525,                0.01626,                 2.6139,                 3.9076,                 1.7509,             0.00073808,             0.00073808,             0.00073808
                      4,                 2.3934,                  4.087,                 1.7619,                0.53875,                0.08941,                0.02952,                0.01331,                 2.8132,                 3.8554,                 1.8426,             0.00072332,             0.00072332,             0.00072332
                      5,                 2.4169,                 4.0125,                 1.7336,                 0.4907,                0.05552,                0.05426,                0.02187,                 2.6872,                 3.5319,                 1.8517,             0.00072332,             0.00072332,             0.00072332
                      6,                 2.4044,                 3.7637,                 1.7127,                0.41317,                0.05535,                0.03024,                0.01073,                 2.6295,                 3.7996,                 1.7891,              0.0007081,              0.0007081,              0.0007081
                      7,                 2.3003,                  3.697,                 1.6971,                0.61395,                0.07482,                0.08683,                0.03888,                 2.6103,                 3.6973,                 1.7409,             0.00069287,             0.00069287,             0.00069287
                      8,                 2.3096,                 3.5401,                 1.6611,                0.72475,                0.03936,                0.05734,                0.03007,                 2.5053,                 3.4889,                 1.7497,             0.00067764,             0.00067764,             0.00067764
                      9,                 2.3518,                 3.4843,                 1.6619,                0.64656,                0.06139,                0.10088,                0.03941,                 2.5256,                 3.3081,                 1.7439,             0.00066242,             0.00066242,             0.00066242
                     10,                 2.2618,                 3.3569,                 1.6274,                0.39461,                0.07262,                 0.0864,                0.03708,                 2.6176,                 3.4836,                 1.7795,             0.00064719,             0.00064719,             0.00064719
                     11,                  2.221,                 3.3124,                 1.5919,                0.55295,                0.07452,                0.08992,                0.03352,                 2.5446,                 4.6924,                 1.7128,             0.00063196,             0.00063196,             0.00063196
