                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2818,                 5.3623,                 1.7674,                0.04626,                0.13309,                0.05027,                0.01821,                 2.5011,                 4.0831,                 1.8437,             0.00025585,             0.00025585,             0.00025585
                      2,                 2.3864,                 3.8042,                 1.7563,                0.57603,                0.02714,                0.03655,                0.01082,                 2.5949,                  3.519,                 1.8035,             0.00050373,             0.00050373,             0.00050373
                      3,                 2.4625,                 3.6954,                 1.8395,                0.65528,                0.10454,                0.03573,                 0.0154,                 2.6787,                 3.5218,                 1.8977,             0.00074315,             0.00074315,             0.00074315
                      4,                 2.4881,                 3.6746,                 1.8077,                0.48416,                 0.1005,                0.09227,                0.02526,                 2.8485,                 3.7471,                 1.9427,             0.00073093,             0.00073093,             0.00073093
                      5,                 2.4709,                 3.6791,                 1.8121,                0.81074,                 0.0375,                0.05621,                0.02095,                 2.6909,                 3.4279,                 1.8652,             0.00073093,             0.00073093,             0.00073093
                      6,                  2.458,                 3.4737,                 1.7673,                0.53142,                0.07222,                0.04825,                0.01878,                  2.806,                 3.5846,                 1.8598,             0.00071825,             0.00071825,             0.00071825
                      7,                  2.385,                 3.5151,                 1.7466,                0.48634,                0.07745,                0.07416,                0.02821,                  2.776,                 3.3767,                 1.9358,             0.00070556,             0.00070556,             0.00070556
                      8,                  2.393,                 3.3705,                 1.7511,                0.29634,                0.10233,                0.08175,                0.03195,                 2.7003,                 3.2522,                 1.8746,             0.00069287,             0.00069287,             0.00069287
                      9,                 2.3494,                 3.2965,                 1.6958,                0.71571,                0.04847,                0.08534,                0.02764,                 2.5842,                 3.7938,                 1.7917,             0.00068018,             0.00068018,             0.00068018
                     10,                 2.2473,                 3.2211,                 1.6886,                0.32681,                0.10413,                 0.0791,                0.03309,                  2.607,                 3.3355,                 1.7848,             0.00066749,             0.00066749,             0.00066749
                     11,                 2.2057,                 3.1608,                  1.604,                0.68997,                0.09562,                0.07102,                0.02711,                 2.5098,                 3.2676,                 1.7936,              0.0006548,              0.0006548,              0.0006548
                     12,                 2.1462,                 3.0443,                 1.6049,                0.49453,                0.10642,                0.08697,                0.03451,                 2.5863,                 3.2854,                 1.7676,             0.00064212,             0.00064212,             0.00064212
                     13,                  2.154,                 2.9839,                 1.6092,                0.47453,                 0.0843,                0.08683,                0.04034,                 2.4594,                 3.3519,                 1.7779,             0.00062943,             0.00062943,             0.00062943
                     14,                 2.1871,                 2.9843,                 1.5859,                0.56687,                0.10226,                0.09226,                0.04058,                 2.5512,                 3.1806,                 1.7875,             0.00061674,             0.00061674,             0.00061674
                     15,                 2.0531,                 2.8076,                 1.5404,                 0.5661,                0.10756,                 0.1082,                0.04499,                 2.4727,                 3.1952,                 1.8116,             0.00060405,             0.00060405,             0.00060405
                     16,                 2.0873,                 2.7823,                 1.5322,                0.57153,                0.10275,                0.08176,                0.02849,                 2.5825,                 3.8607,                 1.7956,             0.00059136,             0.00059136,             0.00059136
