                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1709,                 3.5265,                  1.455,                0.00313,                0.10452,                0.00246,                0.00066,                 2.3805,                 3.6598,                 1.6928,             0.00025601,             0.00025601,             0.00025601
                      2,                 2.3914,                 3.4094,                 1.5654,                0.00184,                0.14583,                0.01906,                0.00531,                 2.7833,                 3.1946,                 1.7815,              0.0005022,              0.0005022,              0.0005022
                      3,                 2.4547,                 3.3408,                 1.6049,                0.00769,                0.32117,                0.04078,                0.01301,                  2.947,                 3.6447,                 1.8171,             0.00073824,             0.00073824,             0.00073824
                      4,                 2.4567,                 3.3248,                 1.6111,                0.53431,                   0.03,                0.03547,                0.00775,                  2.762,                 3.8069,                 1.7774,             0.00072332,             0.00072332,             0.00072332
                      5,                 2.4697,                 3.3138,                 1.5411,                0.00385,                0.22616,                0.00525,                0.00193,                 2.8993,                 3.3669,                 1.8013,             0.00072332,             0.00072332,             0.00072332
                      6,                 2.4962,                 3.3082,                 1.5686,                0.00153,                0.17253,                0.01085,                0.00553,                 3.0046,                 3.4132,                 1.8234,              0.0007081,              0.0007081,              0.0007081
                      7,                 2.4417,                 3.2673,                 1.5082,                0.81063,                 0.0125,                0.05868,                0.01634,                 2.8661,                 3.3486,                 1.7387,             0.00069287,             0.00069287,             0.00069287
                      8,                  2.423,                   3.22,                 1.4674,                0.56064,                0.03593,                0.03372,                0.01573,                  2.779,                 3.8789,                 1.7205,             0.00067764,             0.00067764,             0.00067764
                      9,                 2.3913,                  3.179,                 1.4952,                0.13863,                0.05168,                0.04717,                0.01623,                 2.8298,                 3.2964,                 1.7475,             0.00066242,             0.00066242,             0.00066242
                     10,                 2.3471,                 3.1354,                 1.4494,                0.42828,                0.06271,                0.05056,                0.02143,                 2.8508,                  3.425,                 1.7278,             0.00064719,             0.00064719,             0.00064719
                     11,                 2.3795,                 3.1269,                  1.448,                0.52126,                0.05157,                0.04216,                0.01738,                 2.7476,                 3.3549,                 1.7497,             0.00063196,             0.00063196,             0.00063196
                     12,                 2.2789,                 3.0766,                 1.4198,                0.78677,                   0.05,                0.06734,                0.02326,                 2.9242,                 3.2736,                 1.7383,             0.00061674,             0.00061674,             0.00061674
                     13,                 2.3539,                 3.0857,                 1.4147,                0.67456,                0.06587,                0.07255,                0.02941,                 2.6673,                 3.1825,                 1.6626,             0.00060151,             0.00060151,             0.00060151
                     14,                 2.3211,                 3.0896,                 1.4434,                0.93739,                0.03739,                0.04346,                0.01996,                 2.8438,                 3.5049,                 1.7132,             0.00058629,             0.00058629,             0.00058629
                     15,                 2.3071,                 3.1042,                 1.4365,                0.27468,                0.06105,                0.04102,                0.01516,                 2.9534,                  3.344,                 1.7555,             0.00057106,             0.00057106,             0.00057106
                     16,                 2.3451,                 3.0502,                  1.451,                0.18887,                0.10664,                0.03391,                0.01396,                 2.7638,                 3.4556,                 1.6686,             0.00055583,             0.00055583,             0.00055583
                     17,                 2.2858,                 2.9234,                 1.3803,                0.63499,                0.05716,                0.08209,                0.04017,                 2.7426,                 3.2654,                 1.6937,             0.00054061,             0.00054061,             0.00054061
                     18,                 2.2225,                 2.9049,                 1.3457,                0.86293,                 0.0375,                0.06965,                0.02964,                 2.6859,                 3.1428,                 1.6253,             0.00052538,             0.00052538,             0.00052538
                     19,                 2.2709,                 2.9606,                  1.385,                 0.3105,                0.08105,                0.08664,                0.03442,                 2.7994,                 3.2341,                 1.6828,             0.00051015,             0.00051015,             0.00051015
