                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.281,                 4.7103,                 1.7507,                0.70795,                0.02253,                 0.0245,                 0.0064,                 2.7709,                 3.8833,                 1.8666,             0.00025585,             0.00025585,             0.00025585
                      2,                 2.4498,                  3.896,                 1.7801,                0.51898,                0.01464,                 0.0178,                0.00516,                 2.8681,                  3.678,                 1.9848,             0.00050373,             0.00050373,             0.00050373
                      3,                 2.5848,                 3.7957,                 1.8656,                0.65113,                0.06098,                0.01501,                0.00433,                 2.8409,                 3.8528,                 1.8752,             0.00074315,             0.00074315,             0.00074315
                      4,                 2.5644,                 3.8219,                 1.8623,                0.56481,                0.02276,                 0.0325,                0.00949,                 2.6926,                 3.6374,                 1.9168,             0.00073093,             0.00073093,             0.00073093
                      5,                 2.6032,                 3.7559,                 1.8109,                  0.542,                0.06704,                0.10296,                0.03914,                 2.8178,                 3.4807,                 1.9029,             0.00073093,             0.00073093,             0.00073093
                      6,                 2.5984,                 3.6432,                 1.8244,                0.28795,                0.03023,                0.02614,                0.00585,                 2.9046,                 3.6081,                 1.9551,             0.00071825,             0.00071825,             0.00071825
                      7,                 2.4672,                 3.5962,                 1.7931,                0.80517,                0.02814,                0.08495,                0.02994,                 2.8067,                  3.505,                 1.8638,             0.00070556,             0.00070556,             0.00070556
                      8,                 2.4778,                 3.4686,                 1.7647,                 0.5425,                0.07901,                0.05556,                0.02364,                 2.6733,                 3.3772,                 1.8441,             0.00069287,             0.00069287,             0.00069287
                      9,                 2.4248,                 3.4192,                 1.7059,                0.46338,                 0.0786,                0.05928,                0.02374,                 2.7738,                 3.5137,                 1.8434,             0.00068018,             0.00068018,             0.00068018
                     10,                 2.3743,                 3.3182,                 1.7127,                0.34251,                0.05384,                0.05614,                0.02319,                 2.6668,                 3.5165,                  1.747,             0.00066749,             0.00066749,             0.00066749
                     11,                  2.295,                 3.3226,                 1.6234,                0.45261,                0.11402,                 0.0737,                0.02397,                 2.5651,                 3.3405,                 1.7761,              0.0006548,              0.0006548,              0.0006548
                     12,                 2.2336,                 3.1414,                 1.6298,                0.30785,                 0.1491,                0.10954,                0.04236,                 2.6016,                 3.5047,                 1.7348,             0.00064212,             0.00064212,             0.00064212
                     13,                 2.2301,                 3.1329,                 1.6317,                 0.4741,                0.10177,                0.12093,                0.05416,                 2.5646,                 3.4103,                    1.8,             0.00062943,             0.00062943,             0.00062943
                     14,                 2.2492,                 3.1347,                 1.6027,                0.56215,                0.06546,                0.19077,                0.06442,                 2.5971,                  3.408,                 1.7815,             0.00061674,             0.00061674,             0.00061674
                     15,                    2.2,                 3.0293,                 1.5922,                0.33379,                0.15869,                 0.0978,                0.04037,                 2.4817,                   3.35,                 1.7351,             0.00060405,             0.00060405,             0.00060405
                     16,                 2.1925,                 2.9955,                 1.5779,                0.74405,                0.07407,                0.11811,                0.04799,                 2.5934,                 3.5916,                 1.7659,             0.00059136,             0.00059136,             0.00059136
                     17,                  2.156,                 2.9176,                  1.575,                0.23992,                0.13051,                0.09915,                0.03309,                  2.596,                 3.2552,                 1.7977,             0.00057867,             0.00057867,             0.00057867
                     18,                  2.158,                 2.9578,                 1.5467,                0.73008,                0.11797,                0.11388,                0.05251,                 2.5775,                 3.1024,                 1.7862,             0.00056598,             0.00056598,             0.00056598
                     19,                 2.1008,                 2.8374,                 1.5392,                0.54845,                0.08465,                0.13752,                0.04988,                 2.5672,                 3.2094,                 1.7725,              0.0005533,              0.0005533,              0.0005533
                     20,                 2.0372,                 2.8319,                 1.5289,                0.59893,                0.09611,                0.10719,                0.05276,                 2.5674,                 3.5019,                 1.7494,             0.00054061,             0.00054061,             0.00054061
                     21,                   2.09,                 2.8475,                 1.5433,                0.52569,                0.08228,                 0.0909,                0.03951,                 2.4986,                   3.24,                 1.7487,             0.00052792,             0.00052792,             0.00052792
                     22,                 2.0051,                 2.7414,                 1.5091,                0.36272,                0.15475,                0.10595,                0.04198,                  2.524,                 3.3356,                  1.747,             0.00051523,             0.00051523,             0.00051523
