                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1571,                 3.5328,                 1.4653,                0.00418,                0.28321,                0.00958,                0.00369,                 2.3142,                 5.3191,                 1.6295,             0.00025601,             0.00025601,             0.00025601
                      2,                 2.3948,                 3.4004,                 1.5591,                0.53128,                0.01355,                0.01996,                0.00398,                 2.8444,                 3.3952,                  1.815,              0.0005022,              0.0005022,              0.0005022
                      3,                 2.5457,                 3.3424,                 1.6024,                0.00118,                0.18503,                0.00111,                 0.0004,                 3.3103,                 398.63,                 2.3213,             0.00073824,             0.00073824,             0.00073824
                      4,                 2.5103,                 3.3794,                 1.5973,                0.12912,                 0.0375,                0.00403,                0.00082,                 2.9652,                 5.0841,                 1.9777,             0.00072332,             0.00072332,             0.00072332
                      5,                 2.5261,                 3.2951,                 1.5472,                0.00255,                0.11651,                0.00308,                0.00081,                  3.204,                 10.286,                 2.5028,             0.00072332,             0.00072332,             0.00072332
                      6,                 2.5239,                 3.3813,                 1.5633,                0.66331,                  0.025,                 0.0184,                0.00769,                 3.0168,                 3.4047,                 1.9729,              0.0007081,              0.0007081,              0.0007081
                      7,                  2.499,                 3.2902,                  1.517,                0.53156,                0.03855,                0.01492,                0.00514,                 2.9868,                 3.4149,                 1.7943,             0.00069287,             0.00069287,             0.00069287
                      8,                 2.4638,                 3.2362,                 1.5024,                0.37695,                  0.025,                0.00248,                0.00071,                 2.9564,                 6.2597,                  1.859,             0.00067764,             0.00067764,             0.00067764
                      9,                 2.4222,                 3.2555,                 1.4965,                0.71276,                  0.025,                0.03183,                0.01652,                 2.7742,                 3.4196,                 1.6883,             0.00066242,             0.00066242,             0.00066242
                     10,                 2.3492,                 3.1562,                 1.4495,                0.86129,                  0.025,                0.04006,                0.00912,                  2.713,                  3.357,                 1.6727,             0.00064719,             0.00064719,             0.00064719
                     11,                 2.3319,                 3.1132,                 1.4245,                0.41295,                0.09694,                0.03877,                0.02029,                 2.6892,                 3.8045,                 1.6834,             0.00063196,             0.00063196,             0.00063196
                     12,                 2.2692,                 3.0782,                 1.4082,                0.02595,                0.16791,                0.03661,                0.01206,                  2.881,                 3.1543,                 1.7451,             0.00061674,             0.00061674,             0.00061674
                     13,                 2.3239,                 3.0949,                 1.4051,                0.18499,                0.05947,                0.04534,                0.01745,                 2.8787,                 3.2227,                 1.7613,             0.00060151,             0.00060151,             0.00060151
                     14,                 2.3376,                 3.0824,                 1.4349,                0.16491,                0.08783,                 0.0347,                0.01803,                 2.7276,                 3.8993,                 1.6684,             0.00058629,             0.00058629,             0.00058629
                     15,                 2.3008,                 3.0689,                 1.4193,                0.32747,                0.10928,                  0.056,                0.02401,                 2.7231,                 3.3616,                 1.6856,             0.00057106,             0.00057106,             0.00057106
                     16,                 2.3666,                 3.0557,                 1.4498,                0.20004,                0.09489,                0.03347,                0.01392,                 2.8292,                 3.4222,                 1.7083,             0.00055583,             0.00055583,             0.00055583
                     17,                 2.2589,                 2.9348,                 1.3761,                0.83588,                 0.0375,                0.05581,                0.02535,                 2.6519,                 3.2411,                  1.681,             0.00054061,             0.00054061,             0.00054061
                     18,                 2.2006,                 2.8539,                 1.3375,                 0.8077,                 0.0625,                0.06126,                0.01884,                 2.7214,                 4.3175,                 1.6831,             0.00052538,             0.00052538,             0.00052538
                     19,                  2.237,                 2.9187,                 1.3649,                0.89607,                0.06985,                0.05231,                0.02391,                  2.633,                 3.1976,                 1.6327,             0.00051015,             0.00051015,             0.00051015
                     20,                 2.1649,                 2.8664,                  1.356,                0.57882,                0.07721,                 0.0684,                0.02605,                 2.6946,                 3.3568,                 1.6443,             0.00049493,             0.00049493,             0.00049493
                     21,                 2.2185,                 2.8532,                 1.3659,                0.43433,                0.09258,                0.06424,                0.02376,                 2.7378,                 3.5076,                 1.6259,              0.0004797,              0.0004797,              0.0004797
                     22,                 2.1856,                 2.8114,                 1.3561,                0.34541,                0.07012,                0.05547,                0.02766,                 2.6997,                 3.2953,                 1.6774,             0.00046448,             0.00046448,             0.00046448
                     23,                 2.1298,                 2.8128,                 1.3402,                0.70067,                0.08235,                0.06867,                0.03198,                  2.608,                 3.8293,                 1.6878,             0.00044925,             0.00044925,             0.00044925
                     24,                 2.1131,                 2.7611,                 1.3284,                0.57075,                0.09485,                0.06651,                  0.027,                 2.6913,                 3.8496,                  1.706,             0.00043402,             0.00043402,             0.00043402
                     25,                 2.2039,                 2.8154,                  1.381,                0.30489,                0.14544,                0.10969,                0.03184,                 2.5922,                 3.2117,                 1.7249,              0.0004188,              0.0004188,              0.0004188
                     26,                  2.035,                 2.6543,                 1.2959,                0.22887,                0.15789,                0.10458,                0.03649,                 2.5599,                 3.1045,                 1.6196,             0.00040357,             0.00040357,             0.00040357
                     27,                 2.1103,                  2.665,                 1.3234,                0.22053,                0.14004,                0.10032,                0.03721,                 2.6829,                 3.3603,                 1.6947,             0.00038835,             0.00038835,             0.00038835
                     28,                 2.0538,                 2.6081,                 1.2948,                  0.222,                 0.0968,                0.05548,                0.02491,                 2.7359,                 3.5222,                 1.7129,             0.00037312,             0.00037312,             0.00037312
                     29,                 2.0173,                 2.5902,                 1.2777,                 0.2419,                0.11887,                0.10846,                0.03738,                 2.5708,                  3.753,                 1.7146,             0.00035789,             0.00035789,             0.00035789
                     30,                 2.0369,                 2.5472,                 1.2838,                0.22807,                0.12596,                 0.0735,                0.03047,                 2.6949,                 4.6946,                 1.7327,             0.00034267,             0.00034267,             0.00034267
                     31,                 1.9837,                 2.5666,                 1.2802,                0.57162,                0.12387,                0.11306,                0.04084,                 2.5655,                 3.4672,                 1.6627,             0.00032744,             0.00032744,             0.00032744
                     32,                 1.9783,                 2.5087,                 1.2517,                0.48921,                0.11152,                0.11534,                0.03959,                 2.7596,                 4.0493,                 1.7555,             0.00031221,             0.00031221,             0.00031221
                     33,                 1.9156,                 2.4072,                 1.2113,                  0.457,                0.10652,                0.10706,                0.04052,                  2.861,                 3.3995,                 1.7887,             0.00029699,             0.00029699,             0.00029699
                     34,                 1.9853,                 2.4374,                 1.2655,                0.41328,                0.11399,                0.08422,                0.03382,                 2.7201,                 3.4899,                 1.7186,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.8995,                 2.3545,                 1.2393,                0.27477,                0.11994,                0.09645,                0.04203,                 2.7371,                 3.9744,                 1.7403,             0.00026654,             0.00026654,             0.00026654
                     36,                  1.919,                 2.3432,                 1.2261,                0.61925,                0.11187,                0.11506,                0.04247,                 2.7191,                 3.4754,                  1.757,             0.00025131,             0.00025131,             0.00025131
                     37,                 1.9189,                 2.3084,                 1.2062,                0.34997,                0.13044,                0.11296,                0.04446,                 2.9018,                 3.3489,                 1.8041,             0.00023608,             0.00023608,             0.00023608
                     38,                  1.877,                 2.2591,                  1.235,                0.34076,                 0.1318,                 0.1349,                0.05001,                 2.7585,                 3.9853,                 1.7658,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.9215,                 2.2941,                 1.2256,                0.47242,                0.11697,                0.14058,                0.04289,                 2.7934,                 3.7539,                 1.7442,             0.00020563,             0.00020563,             0.00020563
                     40,                  1.836,                 2.1976,                 1.1636,                0.35449,                0.13079,                0.12624,                0.04493,                 2.6982,                 3.3051,                 1.7281,              0.0001904,              0.0001904,              0.0001904
                     41,                 1.7447,                 1.8999,                 1.0706,                0.30766,                0.13408,                0.09248,                0.03737,                 2.8209,                 3.0784,                 1.8408,             0.00017518,             0.00017518,             0.00017518
                     42,                 1.7302,                 1.8133,                 1.0655,                0.36971,                0.10742,                0.10934,                0.03965,                 2.7138,                 4.2493,                  1.762,             0.00015995,             0.00015995,             0.00015995
                     43,                 1.7757,                 1.8209,                 1.0631,                 0.5448,                0.09227,                0.18536,                0.04911,                 2.7442,                 4.3403,                 1.7755,             0.00014473,             0.00014473,             0.00014473
                     44,                 1.7138,                 1.7588,                 1.0457,                0.53452,                 0.0924,                0.12017,                0.04012,                 2.7275,                 3.7224,                 1.7911,              0.0001295,              0.0001295,              0.0001295
                     45,                 1.6662,                 1.6904,                 1.0232,                0.44029,                 0.1247,                0.11255,                0.03505,                 2.6733,                  3.896,                  1.798,             0.00011427,             0.00011427,             0.00011427
                     46,                 1.5972,                 1.6398,                0.99833,                0.44233,                0.11568,                0.11443,                0.03904,                  2.749,                  4.295,                 1.8124,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                 1.6152,                 1.5733,                 0.9956,                0.26849,                0.12166,                0.11105,                0.03467,                 2.6618,                 3.8565,                 1.8021,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                 1.5945,                 1.5806,                0.99287,                0.26403,                0.09596,                0.10607,                0.03286,                 2.7727,                 3.7094,                 1.8147,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                 1.6056,                  1.558,                0.97755,                  0.089,                0.14923,                0.07827,                0.03627,                 2.7143,                 3.6229,                  1.835,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                 1.6065,                 1.5319,                0.98861,                0.06229,                0.09401,                0.06162,                0.02765,                 2.7673,                 3.7776,                 1.8746,             3.8142e-05,             3.8142e-05,             3.8142e-05
