                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2818,                 5.3623,                 1.7674,                0.04626,                0.13309,                0.05027,                0.01821,                 2.5011,                 4.0831,                 1.8437,             0.00025585,             0.00025585,             0.00025585
                      2,                 2.3979,                 3.8027,                 1.7563,                0.43926,                0.05317,                0.03896,                0.00803,                 2.8534,                  3.577,                 1.8376,             0.00050964,             0.00050964,             0.00050964
                      3,                 2.4912,                  3.686,                 1.8404,                0.70944,                0.05388,                0.05507,                0.02222,                 2.7772,                 3.8468,                  1.935,             0.00076091,             0.00076091,             0.00076091
                      4,                 2.4679,                 3.6625,                 1.8218,                0.42626,                0.05348,                 0.0225,                0.00937,                 2.6322,                 3.4069,                 1.8114,             0.00075758,             0.00075758,             0.00075758
                      5,                 2.4813,                 3.6851,                 1.8156,                0.71999,                0.03907,                0.03992,                0.01127,                 2.7686,                 3.5876,                 1.9111,             0.00075758,             0.00075758,             0.00075758
                      6,                 2.4875,                 3.5316,                 1.7673,                0.56253,                0.04838,                0.05334,                0.01704,                 2.6946,                 3.7126,                 1.9125,             0.00075377,             0.00075377,             0.00075377
                      7,                 2.4047,                 3.5437,                  1.784,                0.77616,                0.04045,                0.04901,                0.02122,                  2.748,                 3.5442,                 1.8962,             0.00074997,             0.00074997,             0.00074997
                      8,                 2.3828,                 3.4184,                 1.7564,                0.80509,                0.02605,                0.05368,                0.03016,                 2.6317,                 3.5564,                 1.8279,             0.00074616,             0.00074616,             0.00074616
                      9,                 2.4193,                 3.3385,                 1.7158,                0.58226,                0.07598,                0.07099,                0.02951,                 2.6478,                 4.1386,                  1.815,             0.00074235,             0.00074235,             0.00074235
                     10,                  2.339,                 3.3108,                 1.7026,                0.31825,                0.08278,                0.05115,                0.02148,                  2.556,                 3.1618,                 1.7663,             0.00073855,             0.00073855,             0.00073855
                     11,                 2.2237,                 3.2284,                 1.6295,                0.61778,                0.09788,                0.08423,                0.02854,                 2.6198,                  3.363,                 1.8396,             0.00073474,             0.00073474,             0.00073474
                     12,                 2.1955,                 3.0826,                 1.6425,                0.98735,                   0.05,                 0.1274,                0.04276,                 2.5107,                 3.2028,                 1.7654,             0.00073093,             0.00073093,             0.00073093
                     13,                 2.1972,                 3.0565,                 1.6134,                0.19303,                0.15215,                0.06174,                0.02286,                 2.5089,                 3.4485,                 1.7815,             0.00072713,             0.00072713,             0.00072713
                     14,                 2.2466,                 3.0648,                 1.6143,                0.79638,                0.05628,                0.12613,                0.03992,                 2.5386,                 3.4069,                 1.7765,             0.00072332,             0.00072332,             0.00072332
                     15,                  2.127,                  2.911,                 1.5801,                0.81471,                0.07446,                0.11233,                0.03922,                  2.568,                 3.4428,                 1.8193,             0.00071951,             0.00071951,             0.00071951
                     16,                 2.1368,                 2.9016,                 1.5727,                0.75379,                0.06941,                0.08279,                0.03237,                  2.579,                 3.1728,                 1.7913,             0.00071571,             0.00071571,             0.00071571
                     17,                 2.0867,                 2.8419,                 1.5546,                0.32441,                0.09424,                0.08815,                 0.0326,                 2.4715,                  3.256,                 1.7493,              0.0007119,              0.0007119,              0.0007119
                     18,                 2.0649,                  2.835,                 1.5101,                0.66131,                0.08612,                0.08557,                 0.0346,                 2.5144,                 3.3996,                 1.7599,              0.0007081,              0.0007081,              0.0007081
                     19,                  2.025,                 2.7615,                 1.5266,                0.62317,                0.08889,                0.07272,                0.03155,                 2.6219,                 3.3523,                 1.8258,             0.00070429,             0.00070429,             0.00070429
                     20,                 2.0341,                 2.8024,                 1.5334,                0.73506,                0.08212,                0.09153,                0.04369,                 2.5873,                 3.7545,                 1.7399,             0.00070048,             0.00070048,             0.00070048
                     21,                 2.0697,                 2.7837,                 1.5316,                0.37746,                0.10268,                0.07133,                0.03862,                 2.6585,                  3.615,                 1.9145,             0.00069668,             0.00069668,             0.00069668
                     22,                  1.969,                 2.6664,                 1.5148,                 0.2969,                0.16052,                0.07519,                0.03243,                 2.5757,                 3.6054,                 1.8685,             0.00069287,             0.00069287,             0.00069287
                     23,                 1.9246,                 2.6294,                 1.4596,                0.45576,                 0.1634,                0.12065,                0.04605,                 2.6056,                 3.4609,                 1.8413,             0.00068906,             0.00068906,             0.00068906
                     24,                 1.9637,                 2.5993,                 1.4602,                0.23254,                0.09485,                 0.1064,                0.04359,                 2.5078,                 3.1466,                 1.8079,             0.00068526,             0.00068526,             0.00068526
                     25,                 1.9425,                 2.5002,                 1.4654,                0.17898,                0.15761,                0.08619,                0.03667,                  2.566,                 3.2187,                 1.8422,             0.00068145,             0.00068145,             0.00068145
                     26,                 1.9671,                 2.6112,                 1.4718,                0.26339,                0.18972,                0.12129,                0.04696,                 2.5483,                 3.2494,                  1.798,             0.00067764,             0.00067764,             0.00067764
                     27,                 1.8503,                 2.4031,                 1.4457,                0.21669,                0.18032,                 0.0892,                0.03465,                 2.5766,                 3.1547,                 1.8235,             0.00067384,             0.00067384,             0.00067384
                     28,                 1.8329,                 2.4456,                 1.3945,                0.50545,                0.14777,                0.16142,                0.04742,                 2.6308,                 3.5498,                 1.9007,             0.00067003,             0.00067003,             0.00067003
                     29,                 1.8536,                 2.3945,                 1.4183,                0.13653,                 0.1769,                0.13172,                0.04578,                 2.5999,                 3.3429,                 1.9123,             0.00066622,             0.00066622,             0.00066622
                     30,                 1.8729,                 2.3847,                 1.4126,                0.38556,                 0.2402,                0.17042,                 0.0502,                  2.496,                 3.3061,                 1.8302,             0.00066242,             0.00066242,             0.00066242
                     31,                 1.7848,                 2.3097,                 1.3772,                0.37526,                0.11122,                0.07001,                0.02959,                 2.5979,                 3.8799,                 1.8718,             0.00065861,             0.00065861,             0.00065861
                     32,                 1.8009,                  2.286,                  1.394,                0.24064,                 0.1755,                0.14107,                 0.0521,                 2.5637,                 3.0899,                 1.8511,              0.0006548,              0.0006548,              0.0006548
                     33,                 1.7488,                 2.1916,                 1.3888,                0.46772,                0.15395,                0.11216,                0.04198,                 2.5579,                 3.3131,                 1.8792,               0.000651,               0.000651,               0.000651
                     34,                 1.8244,                 2.2338,                 1.4001,                0.61621,                0.13963,                0.12714,                  0.039,                 2.5846,                 3.4997,                 1.8888,             0.00064719,             0.00064719,             0.00064719
                     35,                 1.7386,                 2.1134,                 1.3525,                0.54919,                0.12215,                0.13585,                0.05126,                 2.5403,                 3.1621,                 1.8484,             0.00064338,             0.00064338,             0.00064338
                     36,                 1.7343,                 2.1356,                 1.3418,                0.45083,                0.14139,                0.13452,                0.05468,                  2.569,                 3.0945,                 1.8625,             0.00063958,             0.00063958,             0.00063958
                     37,                 1.7117,                 2.1042,                  1.328,                0.11778,                0.16757,                0.13135,                0.04603,                 2.5215,                 3.3707,                 1.8861,             0.00063577,             0.00063577,             0.00063577
                     38,                 1.7043,                 2.0299,                 1.3387,                0.19289,                0.11796,                0.08099,                0.03836,                 2.5203,                 3.3744,                  1.892,             0.00063196,             0.00063196,             0.00063196
                     39,                 1.7013,                  2.064,                  1.328,                0.54589,                0.11264,                0.09182,                0.04252,                 2.5038,                 3.1818,                 1.8376,             0.00062816,             0.00062816,             0.00062816
                     40,                 1.6812,                 2.0729,                 1.3383,                0.28898,                0.10082,                  0.092,                0.04246,                 2.6345,                 3.1744,                 1.9756,             0.00062435,             0.00062435,             0.00062435
                     41,                 1.6818,                 1.9733,                  1.297,                0.22417,                0.16339,                0.13124,                0.04738,                 2.5484,                 3.2075,                 1.8628,             0.00062054,             0.00062054,             0.00062054
                     42,                 1.6643,                 1.9341,                 1.3094,                0.29849,                0.22431,                0.19184,                0.05841,                 2.5891,                  3.254,                 1.9196,             0.00061674,             0.00061674,             0.00061674
                     43,                 1.6468,                 1.9763,                 1.3203,                0.31389,                0.22532,                0.22195,                0.06618,                 2.6009,                   3.16,                 1.9724,             0.00061293,             0.00061293,             0.00061293
                     44,                 1.6458,                 1.9018,                 1.3116,                0.28789,                0.17327,                0.15876,                0.06566,                 2.5864,                 3.6249,                 1.9073,             0.00060912,             0.00060912,             0.00060912
                     45,                 1.6445,                 1.9239,                 1.3047,                0.13723,                0.14192,                0.11568,                0.04084,                 2.5892,                  3.359,                 2.0097,             0.00060532,             0.00060532,             0.00060532
                     46,                 1.6612,                 1.9308,                 1.3134,                0.15574,                0.23768,                0.16917,                0.05255,                 2.5821,                 3.3836,                  1.903,             0.00060151,             0.00060151,             0.00060151
                     47,                 1.6495,                 1.9066,                 1.3076,                0.22632,                0.18499,                0.15287,                0.05191,                 2.5904,                 3.3639,                 1.9338,             0.00059771,             0.00059771,             0.00059771
                     48,                 1.5757,                 1.8171,                 1.2724,                0.10284,                0.19257,                0.16349,                 0.0553,                 2.5535,                 3.3608,                 1.9288,              0.0005939,              0.0005939,              0.0005939
                     49,                 1.6289,                 1.8569,                 1.2887,                0.36404,                0.17283,                0.11892,                0.04816,                 2.5349,                   3.75,                 1.9092,             0.00059009,             0.00059009,             0.00059009
                     50,                 1.5923,                 1.8187,                 1.2622,                0.16217,                0.26966,                0.20544,                0.06515,                 2.5877,                 3.7382,                 1.9699,             0.00058629,             0.00058629,             0.00058629
